66.5523 	EXP 	LeftFrame: autoDraw = True
66.5523 	EXP 	LeftImage: autoDraw = True
66.5523 	EXP 	RightFrame: autoDraw = True
66.5523 	EXP 	RightImage: autoDraw = True
69.5310 	EXP 	TopImage: autoDraw = False
69.5310 	EXP 	LeftFrame: autoDraw = False
69.5310 	EXP 	LeftImage: autoDraw = False
69.5310 	EXP 	RightFrame: autoDraw = False
69.5310 	EXP 	RightImage: autoDraw = False
69.5310 	EXP 	TrialFixationEnd: autoDraw = True
70.5292 	EXP 	New trial (rep=0, index=5): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/09F_FE_O.BMP'), ('Left', 'stimuli/07F_FE_O.BMP'), ('Right', 'stimuli/09F_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '2'), ('Emotion', 'Fear'), ('Gender', 'Female'), ('TrialLength', 3), ('FixationLength', 1)])
70.5733 	EXP 	TrialFixationEnd: autoDraw = False
70.5733 	EXP 	TopImage: autoDraw = False
70.5733 	EXP 	LeftFrame: autoDraw = False
70.5733 	EXP 	LeftImage: autoDraw = False
70.5733 	EXP 	RightFrame: autoDraw = False
70.5733 	EXP 	RightImage: autoDraw = False
70.5733 	EXP 	TrialFixationEnd: autoDraw = False
70.5733 	EXP 	TopImage: image = 'stimuli/09F_FE_O.BMP'
70.5733 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
70.5733 	EXP 	LeftImage: image = 'stimuli/07F_FE_O.BMP'
70.5733 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
70.5733 	EXP 	RightImage: image = 'stimuli/09F_FE_O.BMP'
70.5733 	EXP 	TopImage: autoDraw = True
70.5733 	EXP 	LeftFrame: autoDraw = True
70.5733 	EXP 	LeftImage: autoDraw = True
70.5733 	EXP 	RightFrame: autoDraw = True
70.5733 	EXP 	RightImage: autoDraw = True
70.8006 	DATA 	Keypress: down
71.8859 	DATA 	Keypress: up
73.5486 	EXP 	TopImage: autoDraw = False
73.5486 	EXP 	LeftFrame: autoDraw = False
73.5486 	EXP 	LeftImage: autoDraw = False
73.5486 	EXP 	RightFrame: autoDraw = False
73.5486 	EXP 	RightImage: autoDraw = False
73.5486 	EXP 	TrialFixationEnd: autoDraw = True
74.5364 	EXP 	New trial (rep=0, index=6): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/08F_FE_O.BMP'), ('Left', 'stimuli/13F_FE_O.BMP'), ('Right', 'stimuli/08F_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '2'), ('Emotion', 'Fear'), ('Gender', 'Female'), ('TrialLength', 3), ('FixationLength', 1)])
74.5833 	EXP 	TrialFixationEnd: autoDraw = False
74.5833 	EXP 	TopImage: autoDraw = False
74.5833 	EXP 	LeftFrame: autoDraw = False
74.5833 	EXP 	LeftImage: autoDraw = False
74.5833 	EXP 	RightFrame: autoDraw = False
74.5833 	EXP 	RightImage: autoDraw = False
74.5833 	EXP 	TrialFixationEnd: autoDraw = False
74.5833 	EXP 	TopImage: image = 'stimuli/08F_FE_O.BMP'
74.5833 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
74.5833 	EXP 	LeftImage: image = 'stimuli/13F_FE_O.BMP'
74.5833 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
74.5833 	EXP 	RightImage: image = 'stimuli/08F_FE_O.BMP'
74.5833 	EXP 	TopImage: autoDraw = True
74.5833 	EXP 	LeftFrame: autoDraw = True
74.5833 	EXP 	LeftImage: autoDraw = True
74.5833 	EXP 	RightFrame: autoDraw = True
74.5833 	EXP 	RightImage: autoDraw = True
77.5534 	EXP 	TopImage: autoDraw = False
77.5534 	EXP 	LeftFrame: autoDraw = False
77.5534 	EXP 	LeftImage: autoDraw = False
77.5534 	EXP 	RightFrame: autoDraw = False
77.5534 	EXP 	RightImage: autoDraw = False
77.5534 	EXP 	TrialFixationEnd: autoDraw = True
78.5421 	EXP 	New trial (rep=0, index=7): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/07F_FE_O.BMP'), ('Left', 'stimuli/07F_FE_O.BMP'), ('Right', 'stimuli/14F_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '1'), ('Emotion', 'Fear'), ('Gender', 'Female'), ('TrialLength', 3), ('FixationLength', 1)])
